iso_country_numeric_code,iso_country_code,country,world_region,MPI_0_to_1,pct_pop_headcountratio,pct_intensity,pct_pop_vulnerable_to_poverty,pct_pop_in_severe_poverty,tot_pop_K,num_mpi_poor_people_K,pct_pop_nutrition,pct_pop_child_mortality,pct_pop_years_of_schooling,pct_pop_school_attendance,pct_pop_cooking_fuel,pct_pop_sanitation,pct_pop_drinking_water,pct_pop_electricity,pct_pop_housing,pct_pop_assests,pct_contri_health,pct_contri_education,pct_contri_living_standards,pct_contri_nutrition,pct_contri_child_mortality,pct_contri_years_of_schooling,pct_contri_school_attendance,pct_contri_cooking_fuel,pct_contri_sanitation,pct_contri_drinking_water,pct_contri_electricity,pct_contri_housing,pct_contri_assests
51,ARM,Armenia,Europe and Central Asia,6.754480418749154e-4,0.18651599530130625,36.21394634246826,2.7175351977348328,0,2936.147,5.476383686065674,0.13419012539088726,0,0.023152207722887397,0.12588414829224348,0.07103353273123503,0.18651599530130625,0.03747963928617537,0,0.023152207722887397,0.04794562410097569,33.111387491226196,36.774688959121704,30.11392056941986,33.111387491226196,0,5.712802708148956,31.061887741088867,5.842503160238266,15.340927243232727,3.0826978385448456,0,1.9042674452066422,3.9435241371393204
804,UKR,Ukraine,Europe and Central Asia,8.267242228612304e-4,0.23974981158971786,34.482789039611816,0.4186271224170923,0,45453.805,108.97541046142578,NA,0.1480085775256157,0.09174123406410217,0.05126268952153623,0.06876755505800247,0.029472436290234327,0.023141445126384497,0.004354673728812486,0.014627393102273345,0.030676848837174475,59.676724672317505,28.829431533813477,11.493847519159317,NA,59.676724672317505,18.494929373264313,10.334500670433044,4.621154069900513,1.9805366173386574,1.5550963580608368,0.292632426135242,0.9829552844166756,2.0614726468920708
268,GEO,Georgia,Europe and Central Asia,0.001244600280188024,0.3401258494704962,36.59234642982483,2.0838914439082146,0.012687004345934838,4002.946,13.6150541305542,0.0935086514800787,0.2585369162261486,0.04574433551169932,0.13171355240046978,0.17311116680502892,0.15160702168941498,0.11959928087890148,0.0031668641895521432,0.1590531668625772,0.04523263487499207,47.14305400848389,23.763705790042877,29.093238711357117,12.521912157535553,34.62114334106445,6.125706806778908,17.637999355793,7.7272094786167145,6.767322868108749,5.338585004210472,0.14136015670374036,7.099698483943939,2.0190611481666565
417,KGZ,Kyrgyzstan,Europe and Central Asia,0.0014259649906307459,0.3930310718715191,36.281225085258484,5.238376557826996,0,6304.025,24.776777267456055,0.3930310718715191,0.15970761887729168,0.03946825163438916,0.1132855424657464,0.2641726052388549,0.05298076430335641,0.09648343548178673,0,0.03662257804535329,0,64.60405588150024,17.8538516163826,17.542093992233276,45.937442779541016,18.66661310195923,4.61304634809494,13.240805268287659,10.292157530784607,2.064129151403904,3.7589918822050095,0,1.4268146827816963,0
688,SRB,Serbia,Europe and Central Asia,0.0014399443753063679,0.3390186931937933,42.473891377449036,3.3997617661952972,0.10490778367966413,8898.284,30.166845321655273,0.14320515329018235,0.03450260264798999,0.256049376912415,0.11263482738286257,0.3000978147611022,0.2058866899460554,0.0338158686645329,0.08207972859963775,0.21209088154137135,0.1187529182061553,20.56882232427597,42.67343282699585,36.75774335861206,16.5753111243248,3.993511199951172,29.63649034500122,13.036942481994629,11.57829463481903,7.943466305732727,1.3046749867498875,3.1667783856391907,8.182834833860397,4.581693932414055
795,TKM,Turkmenistan,Europe and Central Asia,0.0014547742903232574,0.40319161489605904,36.08146011829376,2.4080665782094,0,5662.371,22.8302059173584,0.40319161489605904,0.36470196209847927,0,0.038489667349494994,0,0.058692501625046134,0.1051297876983881,0,0.035621586721390486,0,87.97397017478943,4.409581050276756,7.6164498925209045,46.19177579879761,41.78219437599182,0,4.409581050276756,0,2.2413749247789383,4.014742374420166,0,1.3603327795863152,0
400,JOR,Jordan,Arab States,0.0015259204665198922,0.43120323680341244,35.38750112056732,0.694640725851059,0.001404143222316634,9965.322,42.97079086303711,0.1756366458721459,0.16773110255599022,0.24526382330805063,0.2444693585857749,0.009403493459103629,0.039201529580168426,0.05772706354036927,0,0.1076393062248826,0.0333827396389097,37.50389218330383,53.49046587944031,9.005643427371979,19.183683395385742,18.32021027803421,26.78861916065216,26.701846718788147,0.3423614427447319,1.4272453263401985,2.101721055805683,0,3.9189208298921585,1.2153953313827515
398,KAZ,Kazakhstan,Europe and Central Asia,0.0016108643030747771,0.4530430305749178,35.55653989315033,1.7798501998186111,0,17572.01,79.6087646484375,0.4512022715061903,0.4229502286761999,0.001840759978222195,0.02825203991960734,0.030092798988334835,0,0.06047033821232617,0.001840759978222195,0.09257510537281632,0.001840759978222195,90.44342637062073,3.1135251745581627,6.443047523498535,46.68324887752533,43.7601774930954,0.19045262597501278,2.923072502017021,1.0378416627645493,0,2.085503377020359,0.0634842086583376,3.192733973264694,0.0634842086583376
192,CUB,Cuba,Latin America and the Caribbean,0.0016218493692576885,0.4401767160743475,36.84541583061218,1.5681255608797073,0.0125102189485915,11339.255,49.91276168823242,NA,0.125718186609447,0.30491959769278765,0.008098577382043004,0.2104180632159114,0.3050373401492834,0.10379585437476635,0.017302329069934785,0.2886499511078,0.300761591643095,25.838443636894226,32.16679394245148,41.99475944042206,NA,25.838443636894226,31.334558129310608,0.8322369307279587,7.207754999399185,10.448885709047318,3.555469959974289,0.5926817655563354,9.887544810771942,10.302422195672989
780,TTO,Trinidad and Tobago,Latin America and the Caribbean,0.00241792481392622,0.6365606561303139,37.984198331832886,3.6814436316490173,0.09932339889928699,1336.18,8.505596160888672,0.2580417087301612,0.40191602893173695,0.32532159239053726,0.16830869717523456,0.010478089825483039,0.08187282946892083,0.07937896298244596,0.23457384668290615,0.31612140592187643,0.16907525714486837,45.49064338207245,34.025755524635315,20.483601093292236,17.786720395088196,27.703922986984253,22.424298524856567,11.601456999778748,0.2407503081485629,1.881154626607895,1.823854260146618,5.389696732163429,7.26337805390358,3.8847655057907104
